stck_bsop_date,futs_prpr,futs_oprc,futs_hgpr,futs_lwpr,acml_vol,acml_tr_pbmn,mod_yn,code,trade_date,collection_time
2024-01-02,363.65,361.25,365.2,358.6,8493,763615225,N,101V06,2025-06-05,19:28:20
2024-01-03,353.5,359.8,359.8,353.25,1510,133904288,N,101V06,2025-06-05,19:28:20
2024-01-04,350.05,351.6,352.7,349.15,1116,97715675,N,101V06,2025-06-05,19:28:20
2024-01-05,348.55,349.25,350.85,348.5,1680,146688675,N,101V06,2025-06-05,19:28:20
2024-01-08,347.2,351.3,351.6,347.2,723,63285038,N,101V06,2025-06-05,19:28:20
2024-01-09,346.3,351.45,352.8,345.3,378,32972438,N,101V06,2025-06-05,19:28:20
2024-01-10,342.4,345.5,346.9,342.2,307,26395863,N,101V06,2025-06-05,19:28:20
2024-01-11,343.35,344.15,344.85,341.85,657,56359713,N,101V06,2025-06-05,19:28:20
2024-01-12,339.9,340.95,342.85,338.75,1240,105563775,N,101V06,2025-06-05,19:28:20
2024-01-15,341.0,340.0,342.1,339.65,515,43863738,N,101V06,2025-06-05,19:28:20
2024-01-16,335.95,339.3,340.0,335.5,371,31332038,N,101V06,2025-06-05,19:28:20
2024-01-17,326.9,336.0,337.5,326.9,3057,251449238,N,101V06,2025-06-05,19:28:20
2024-01-18,328.8,327.3,329.9,326.65,2521,207013988,N,101V06,2025-06-05,19:28:20
2024-01-19,333.3,331.85,334.2,329.05,1761,145988405,N,101V06,2025-06-05,19:28:20
2024-01-22,334.1,337.05,338.05,334.05,401,33650638,N,101V06,2025-06-05,19:28:20
2024-01-23,336.2,334.35,336.5,333.7,1898,159060705,N,101V06,2025-06-05,19:28:20
2024-01-24,334.55,337.0,337.45,331.9,6529,544510475,N,101V06,2025-06-05,19:28:20
2024-01-25,335.15,335.0,335.55,332.9,854,71465188,N,101V06,2025-06-05,19:28:20
2024-01-26,335.1,334.5,338.85,332.45,410,34468888,N,101V06,2025-06-05,19:28:20
2024-01-29,339.35,336.4,341.55,335.95,514,43554500,N,101V06,2025-06-05,19:28:20
2024-01-30,338.6,340.5,342.5,338.0,348,29601275,N,101V06,2025-06-05,19:28:20
2024-01-31,337.25,336.6,337.7,335.65,1126,94878825,N,101V06,2025-06-05,19:28:20
2024-02-01,342.7,336.5,343.45,335.5,1340,114489438,N,101V06,2025-06-05,19:28:20
2024-02-02,354.85,345.3,354.9,345.3,4648,408340600,N,101V06,2025-06-05,19:28:20
2024-02-05,349.95,354.6,354.6,345.5,2503,218365913,N,101V06,2025-06-05,19:28:20
2024-02-06,348.7,349.2,351.5,346.5,1517,132183150,N,101V06,2025-06-05,19:28:20
2024-02-07,353.2,349.55,356.15,349.55,4113,364625388,N,101V06,2025-06-05,19:28:20
2024-02-08,354.05,355.75,356.2,352.8,640,56754788,N,101V06,2025-06-05,19:28:20
2024-02-13,357.85,355.8,360.0,355.7,749,67247400,N,101V06,2025-06-05,19:28:20
