stck_bsop_date,futs_prpr,futs_oprc,futs_hgpr,futs_lwpr,acml_vol,acml_tr_pbmn,mod_yn,code,trade_date,collection_time
2024-03-15,372.7,372.7,372.7,372.7,0,0,N,101W03,2025-06-05,19:28:20
2024-03-18,365.05,365.05,365.05,365.05,0,0,N,101W03,2025-06-05,19:28:20
2024-03-19,367.0,367.0,367.0,367.0,0,0,N,101W03,2025-06-05,19:28:20
2024-03-20,362.8,362.8,362.8,362.8,0,0,N,101W03,2025-06-05,19:28:20
2024-03-21,377.7,377.7,377.7,377.7,1,94425,N,101W03,2025-06-05,19:28:20
2024-03-22,377.7,377.7,377.7,377.7,0,0,N,101W03,2025-06-05,19:28:20
2024-03-25,377.35,377.35,377.35,377.35,500,46918750,N,101W03,2025-06-05,19:28:20
2024-03-26,376.7,376.7,376.7,376.7,0,0,N,101W03,2025-06-05,19:28:20
2024-03-27,380.25,380.25,380.25,380.25,0,0,N,101W03,2025-06-05,19:28:20
2024-03-28,380.5,380.5,380.5,380.5,0,0,N,101W03,2025-06-05,19:28:20
2024-03-29,380.05,380.05,380.05,380.05,0,0,N,101W03,2025-06-05,19:28:20
2024-04-01,381.3,381.3,381.3,381.3,0,0,N,101W03,2025-06-05,19:28:20
2024-04-02,381.7,381.7,381.7,381.7,0,0,N,101W03,2025-06-05,19:28:20
2024-04-03,383.3,383.3,383.3,383.3,0,0,N,101W03,2025-06-05,19:28:20
2024-04-04,377.65,377.65,377.65,377.65,0,0,N,101W03,2025-06-05,19:28:20
2024-04-05,382.95,382.95,382.95,382.95,0,0,N,101W03,2025-06-05,19:28:20
2024-04-08,378.35,378.35,378.35,378.35,0,0,N,101W03,2025-06-05,19:28:20
2024-04-09,379.75,379.75,379.75,379.75,0,0,N,101W03,2025-06-05,19:28:20
2024-04-11,370.55,372.9,372.9,370.55,2,185863,N,101W03,2025-06-05,19:28:20
2024-04-12,370.55,370.55,370.55,370.55,0,0,N,101W03,2025-06-05,19:28:20
2024-04-15,373.7,373.7,373.7,373.7,0,0,N,101W03,2025-06-05,19:28:20
2024-04-16,362.25,364.1,364.1,360.1,810,72998188,N,101W03,2025-06-05,19:28:20
2024-04-17,362.25,362.25,362.25,362.25,200,18027500,N,101W03,2025-06-05,19:28:20
