stck_bsop_date,futs_prpr,futs_oprc,futs_hgpr,futs_lwpr,acml_vol,acml_tr_pbmn,mod_yn,hts_otst_stpl_qty,otst_stpl_qty_icdc,code,collection_date,collection_time,collection_datetime
2024-01-02,371.55,371.55,371.55,371.55,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-01-03,372.8,372.8,372.8,372.8,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-01-04,362.15,362.15,362.15,362.15,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-01-05,358.7,358.7,358.7,358.7,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-01-08,357.0,357.0,357.0,357.0,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-01-09,355.6,355.6,355.6,355.6,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-01-10,354.4,354.4,354.4,354.4,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-01-11,350.6,350.6,350.6,350.6,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-01-12,351.4,351.4,351.4,351.4,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-01-15,341.3,341.3,341.3,341.3,1,85325,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-01-16,337.8,337.8,337.8,337.8,1,84450,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-01-17,334.4,337.2,337.2,334.4,3,252200,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-01-18,334.4,334.4,334.4,334.4,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-01-19,336.0,336.0,336.0,336.0,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-01-22,335.9,339.4,339.4,335.9,3,253025,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-01-23,335.9,335.9,335.9,335.9,1,83975,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-01-24,335.9,335.9,335.9,335.9,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-01-25,341.9,341.9,341.9,341.9,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-01-26,342.15,342.15,342.15,342.15,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-01-29,342.25,342.25,342.25,342.25,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-01-30,346.55,346.55,346.55,346.55,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-01-31,345.95,345.95,345.95,345.95,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-02-01,344.2,344.2,344.2,344.2,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-02-02,355.8,349.4,355.8,349.4,3,265038,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-02-05,349.0,349.0,349.0,349.0,1,87250,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-02-06,349.0,349.0,349.0,349.0,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-02-07,356.4,356.4,356.4,356.4,1,89100,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-02-08,356.4,356.4,356.4,356.4,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-02-13,361.35,361.35,361.35,361.35,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-02-14,365.4,365.4,365.4,365.4,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-02-15,360.4,360.4,360.4,360.4,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-02-16,360.05,360.05,360.05,360.05,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-02-19,363.4,363.35,363.4,363.35,2,181688,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-02-20,363.4,363.4,363.4,363.4,200,17860000,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-02-21,364.85,364.85,364.85,364.85,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-02-22,364.1,364.1,364.1,364.1,350,31443125,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-02-23,366.2,366.2,366.2,366.2,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-02-26,363.0,363.0,363.0,363.0,3,272250,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-02-27,363.0,363.0,363.0,363.0,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-02-28,360.65,360.65,360.65,360.65,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-02-29,365.45,365.45,365.45,365.45,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-03-04,363.95,363.95,363.95,363.95,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-03-05,369.8,369.8,369.8,369.8,500,45142500,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-03-06,365.85,365.85,365.85,365.85,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-03-07,358.4,358.4,358.4,358.4,1,89600,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-03-08,358.4,358.4,358.4,358.4,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-03-11,370.5,370.5,370.5,370.5,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-03-12,367.25,367.25,367.25,367.25,1140,103408250,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-03-13,370.0,370.0,370.0,370.0,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-03-14,371.9,371.9,371.9,371.9,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-03-15,374.35,374.35,374.35,374.35,112,10192000,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-03-18,366.8,366.8,366.8,366.8,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-03-19,368.7,368.7,368.7,368.7,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-03-20,362.4,362.4,362.4,362.4,1,90600,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-03-21,377.0,378.0,378.0,377.0,5,468100,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-03-22,377.0,377.0,377.0,377.0,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-03-25,379.4,379.4,379.4,379.4,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-03-26,379.2,379.2,379.2,379.2,4,379200,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-03-27,379.2,379.2,379.2,379.2,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-03-28,382.5,382.5,382.5,382.5,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-03-29,381.9,381.9,381.9,381.9,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-04-01,383.2,383.2,383.2,383.2,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-04-02,383.25,383.25,383.25,383.25,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-04-03,384.8,384.8,384.8,384.8,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-04-04,379.05,379.05,379.05,379.05,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-04-05,384.45,384.45,384.45,384.45,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-04-08,379.8,379.8,379.8,379.8,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-04-09,381.1,381.1,381.1,381.1,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-04-11,374.5,374.5,374.5,374.5,1,93625,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-04-12,374.5,374.5,374.5,374.5,300,28136250,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-04-15,375.05,375.05,375.05,375.05,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-04-16,372.8,372.8,372.8,372.8,400,36017500,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-04-17,362.0,362.0,362.0,362.0,351,31562063,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-04-18,362.0,362.0,362.0,362.0,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-04-19,352.8,352.8,352.8,352.8,1,88200,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-04-22,361.4,359.3,361.4,359.3,7,631538,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-04-23,361.4,361.4,361.4,361.4,423,38224500,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-04-24,363.75,363.75,363.75,363.75,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-04-25,370.05,370.05,370.05,370.05,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-04-26,363.6,363.8,368.2,363.6,116,10597900,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-04-29,363.6,363.6,363.6,363.6,115,10635900,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-04-30,371.4,371.2,371.4,371.2,103,9529713,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-05-02,371.4,371.4,371.4,371.4,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-05-03,370.75,370.75,370.75,370.75,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-05-07,370.25,370.25,370.25,370.25,1,92563,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-05-08,370.25,370.25,370.25,370.25,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-05-09,381.1,381.1,381.1,381.1,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-05-10,376.55,376.55,376.55,376.55,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-05-13,378.05,378.05,378.05,378.05,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-05-14,376.9,376.9,376.9,376.9,1,94225,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-05-16,380.0,383.0,383.0,380.0,5,478000,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-05-17,380.0,380.0,380.0,380.0,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-05-20,377.05,377.05,377.05,377.05,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-05-21,380.5,380.5,380.5,380.5,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-05-22,379.0,379.0,379.0,379.0,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-05-23,378.0,377.5,378.0,377.5,2,188875,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-05-24,372.25,373.0,373.0,371.0,7,651513,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-05-27,372.25,372.25,372.25,372.25,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-05-28,377.5,377.5,377.5,377.5,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-05-29,377.85,377.85,377.85,377.85,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-05-30,364.6,364.7,364.7,364.6,2,182325,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-05-31,364.6,364.6,364.6,364.6,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-06-03,365.35,365.35,365.35,365.35,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-06-04,371.7,371.7,371.7,371.7,76,6992000,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-06-05,368.75,368.75,368.75,368.75,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-06-07,372.05,372.05,372.05,372.05,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-06-10,374.0,374.0,374.0,374.0,4,374000,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-06-11,374.0,374.0,374.0,374.0,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-06-12,374.45,374.45,374.45,374.45,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-06-13,380.1,379.6,383.2,379.6,8,762513,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-06-14,380.1,380.1,380.1,380.1,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-06-17,381.2,381.2,381.2,381.2,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-06-18,379.65,379.65,379.65,379.65,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-06-19,387.5,387.9,387.9,385.9,5,483825,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-06-20,387.5,387.5,387.5,387.5,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-06-21,383.25,383.8,383.8,383.25,6,575363,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-06-24,383.25,383.25,383.25,383.25,156,14937000,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-06-25,383.5,385.0,385.0,383.5,8,767788,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-06-26,384.75,384.5,384.75,384.5,2,192313,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-06-27,384.75,384.75,384.75,384.75,364,34853000,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-06-28,387.75,387.75,387.75,387.75,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-07-01,388.5,386.8,388.5,386.7,3,290500,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-07-02,388.5,388.5,388.5,388.5,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-07-03,386.4,386.35,386.4,385.1,6,579100,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-07-04,386.4,386.4,386.4,386.4,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-07-05,399.0,397.5,400.5,397.5,12,1196138,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-07-08,399.0,399.0,399.0,399.0,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-07-09,400.0,401.15,401.15,399.5,5,500438,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-07-10,400.0,400.0,400.0,400.0,86,8600000,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-07-11,403.0,403.0,403.0,403.0,1,100750,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-07-12,403.0,403.0,403.0,403.0,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-07-15,399.3,399.3,399.3,399.3,1,99825,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-07-16,400.4,400.5,400.5,400.4,2,200225,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-07-17,400.4,400.4,400.4,400.4,0,0,N,260859,-5365,101W06,2025-06-06,16:14:25,2025-06-06 16:14:25
