stck_bsop_date,futs_prpr,futs_oprc,futs_hgpr,futs_lwpr,acml_vol,acml_tr_pbmn,mod_yn,hts_otst_stpl_qty,otst_stpl_qty_icdc,code,trade_date,collection_time
2024-09-13,343.8,343.8,343.8,343.8,2,171900,N,28176,4735,101W09,2025-06-05,19:28:20
2024-09-19,346.15,346.15,346.15,346.15,3,259613,N,28176,4735,101W09,2025-06-05,19:28:20
2024-09-20,346.15,346.15,346.15,346.15,0,0,N,28176,4735,101W09,2025-06-05,19:28:20
2024-09-23,346.5,347.8,347.8,346.5,2,173575,N,28176,4735,101W09,2025-06-05,19:28:20
2024-09-24,346.5,346.5,346.5,346.5,0,0,N,28176,4735,101W09,2025-06-05,19:28:20
2024-09-25,354.55,354.55,354.55,354.55,0,0,N,28176,4735,101W09,2025-06-05,19:28:20
2024-09-26,348.7,348.7,348.7,348.7,0,0,N,28176,4735,101W09,2025-06-05,19:28:20
2024-09-27,357.5,358.8,358.8,357.5,8,716725,N,28176,4735,101W09,2025-06-05,19:28:20
2024-09-30,357.5,357.5,357.5,357.5,0,0,N,28176,4735,101W09,2025-06-05,19:28:20
2024-10-02,350.35,350.35,350.35,350.35,0,0,N,28176,4735,101W09,2025-06-05,19:28:20
2024-10-04,345.1,345.1,345.1,345.1,0,0,N,28176,4735,101W09,2025-06-05,19:28:20
2024-10-07,349.3,349.3,349.3,349.3,1,87325,N,28176,4735,101W09,2025-06-05,19:28:20
2024-10-08,349.3,349.3,349.3,349.3,0,0,N,28176,4735,101W09,2025-06-05,19:28:20
2024-10-10,348.55,348.55,348.55,348.55,0,0,N,28176,4735,101W09,2025-06-05,19:28:20
2024-10-11,349.25,349.25,349.25,349.25,0,0,N,28176,4735,101W09,2025-06-05,19:28:20
2024-10-14,349.65,349.65,349.65,349.65,0,0,N,28176,4735,101W09,2025-06-05,19:28:20
2024-10-15,353.3,353.3,353.3,353.3,0,0,N,28176,4735,101W09,2025-06-05,19:28:20
2024-10-16,350.5,350.4,350.5,350.4,2,175225,N,28176,4735,101W09,2025-06-05,19:28:20
2024-10-17,350.5,350.5,350.5,350.5,1,87625,N,28176,4735,101W09,2025-06-05,19:28:20
2024-10-18,350.5,350.5,350.5,350.5,0,0,N,28176,4735,101W09,2025-06-05,19:28:20
2024-10-21,350.2,350.2,350.2,350.2,0,0,N,28176,4735,101W09,2025-06-05,19:28:20
2024-10-22,350.45,350.45,350.45,350.45,0,0,N,28176,4735,101W09,2025-06-05,19:28:20
2024-10-23,345.95,345.95,345.95,345.95,0,0,N,28176,4735,101W09,2025-06-05,19:28:20
2024-10-24,350.1,350.1,350.1,350.1,0,0,N,28176,4735,101W09,2025-06-05,19:28:20
2024-10-25,346.95,346.95,346.95,346.95,0,0,N,28176,4735,101W09,2025-06-05,19:28:20
2024-10-28,347.35,347.35,347.35,347.35,0,0,N,28176,4735,101W09,2025-06-05,19:28:20
2024-10-29,350.45,350.45,350.45,350.45,0,0,N,28176,4735,101W09,2025-06-05,19:28:20
2024-10-30,351.8,351.8,351.8,351.8,0,0,N,28176,4735,101W09,2025-06-05,19:28:20
2024-10-31,343.8,343.7,343.8,343.7,2,171875,N,28176,4735,101W09,2025-06-05,19:28:20
2024-11-01,343.8,343.8,343.8,343.8,0,0,N,28176,4735,101W09,2025-06-05,19:28:20
2024-11-04,340.3,340.3,340.3,340.3,0,0,N,28176,4735,101W09,2025-06-05,19:28:20
2024-11-05,345.0,345.0,345.0,345.0,0,0,N,28176,4735,101W09,2025-06-05,19:28:20
2024-11-06,342.2,345.0,345.0,342.2,3,257900,N,28176,4735,101W09,2025-06-05,19:28:20
2024-11-07,342.2,342.2,342.2,342.2,0,0,N,28176,4735,101W09,2025-06-05,19:28:20
2024-11-08,342.75,342.75,342.75,342.75,0,0,N,28176,4735,101W09,2025-06-05,19:28:20
2024-11-11,342.15,342.15,342.15,342.15,0,0,N,28176,4735,101W09,2025-06-05,19:28:20
2024-11-12,331.0,334.3,334.3,330.6,3,248975,N,28176,4735,101W09,2025-06-05,19:28:20
2024-11-13,323.0,324.0,324.0,323.0,2,161750,N,28176,4735,101W09,2025-06-05,19:28:20
2024-11-14,321.15,320.8,321.75,320.8,5,401425,N,28176,4735,101W09,2025-06-05,19:28:20
2024-11-15,321.15,321.15,321.15,321.15,0,0,N,28176,4735,101W09,2025-06-05,19:28:20
2024-11-18,329.45,329.45,329.45,329.45,2,164725,N,28176,4735,101W09,2025-06-05,19:28:20
2024-11-19,329.45,329.45,329.45,329.45,0,0,N,28176,4735,101W09,2025-06-05,19:28:20
2024-11-20,330.55,330.55,330.55,330.55,0,0,N,28176,4735,101W09,2025-06-05,19:28:20
2024-11-21,331.15,331.15,331.15,331.15,0,0,N,28176,4735,101W09,2025-06-05,19:28:20
2024-11-22,331.45,331.45,331.45,331.45,0,0,N,28176,4735,101W09,2025-06-05,19:28:20
2024-11-25,333.75,333.75,333.75,333.75,0,0,N,28176,4735,101W09,2025-06-05,19:28:20
