stck_bsop_date,futs_prpr,futs_oprc,futs_hgpr,futs_lwpr,acml_vol,acml_tr_pbmn,mod_yn,hts_otst_stpl_qty,otst_stpl_qty_icdc,code,collection_date,collection_time,collection_datetime
2024-01-02,363.8,360.7,365.4,358.6,293916,26588557525,N,260859,-5365,101000,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-01-03,353.6,359.7,359.9,353.4,305412,27172615413,N,260859,-5365,101000,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-01-04,350.3,350.2,353.2,349.25,301020,26393056788,N,260859,-5365,101000,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-01-05,348.7,349.35,351.1,348.5,212603,18591198175,N,260859,-5365,101000,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-01-08,347.4,350.35,351.9,347.4,227558,19872841525,N,260859,-5365,101000,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-01-09,346.3,351.4,353.0,345.5,326915,28525253638,N,260859,-5365,101000,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-01-10,342.7,345.35,347.15,342.25,246525,21200173450,N,260859,-5365,101000,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-01-11,343.55,344.45,345.1,342.0,294542,25280447153,N,260859,-5365,101000,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-01-12,340.0,341.5,343.2,338.95,236186,20130084775,N,260859,-5365,101000,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-01-15,341.3,340.0,342.5,339.75,183595,15649646513,N,260859,-5365,101000,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-01-16,336.0,339.55,340.3,335.7,263245,22223598663,N,260859,-5365,101000,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-01-17,327.3,336.45,337.95,327.3,351586,29086049363,N,260859,-5365,101000,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-01-18,329.1,328.7,330.3,326.8,310483,25510717110,N,260859,-5365,101000,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-01-19,333.65,333.0,334.8,332.25,299859,24999280723,N,260859,-5365,101000,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-01-22,334.5,337.05,338.5,334.35,245161,20584978600,N,260859,-5365,101000,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-01-23,336.45,334.0,336.85,333.95,260761,21879056138,N,260859,-5365,101000,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-01-24,334.85,337.1,337.8,332.05,236027,19717282863,N,260859,-5365,101000,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-01-25,335.05,334.7,335.7,333.1,241397,20185305275,N,260859,-5365,101000,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-01-26,335.15,333.5,338.95,331.9,265673,22332051800,N,260859,-5365,101000,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-01-29,339.25,336.25,341.5,335.8,290509,24635908055,N,260859,-5365,101000,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-01-30,338.7,340.55,342.5,337.85,246171,20922446740,N,260859,-5365,101000,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-01-31,337.0,335.15,337.8,335.15,240218,20231456595,N,260859,-5365,101000,2025-06-06,16:14:25,2025-06-06 16:14:25
2024-02-01,342.15,335.8,342.95,335.0,307757,26201875833,N,260859,-5365,101000,2025-06-06,16:14:25,2025-06-06 16:14:25
