stck_bsop_date,futs_prpr,futs_oprc,futs_hgpr,futs_lwpr,acml_vol,acml_tr_pbmn,mod_yn,hts_otst_stpl_qty,otst_stpl_qty_icdc,code,trade_date,collection_time
2024-12-11,21.6,21.6,21.6,21.6,0,0,N,18,1,104W06,2025-06-05,19:28:20
2024-12-12,20.6,20.6,20.6,20.6,0,0,N,18,1,104W06,2025-06-05,19:28:20
2024-12-13,19.9,19.9,19.9,19.9,0,0,N,18,1,104W06,2025-06-05,19:28:20
2024-12-16,19.5,19.5,19.5,19.5,0,0,N,18,1,104W06,2025-06-05,19:28:20
2024-12-17,18.9,18.9,18.9,18.9,0,0,N,18,1,104W06,2025-06-05,19:28:20
2024-12-18,18.35,18.35,18.35,18.35,0,0,N,18,1,104W06,2025-06-05,19:28:20
2024-12-19,17.95,17.95,17.95,17.95,0,0,N,18,1,104W06,2025-06-05,19:28:20
2024-12-20,20.3,20.3,20.3,20.3,0,0,N,18,1,104W06,2025-06-05,19:28:20
2024-12-23,21.45,21.45,21.45,21.45,0,0,N,18,1,104W06,2025-06-05,19:28:20
2024-12-24,20.05,20.05,20.05,20.05,0,0,N,18,1,104W06,2025-06-05,19:28:20
2024-12-26,20.0,20.0,20.0,20.0,0,0,N,18,1,104W06,2025-06-05,19:28:20
2024-12-27,20.5,20.5,20.5,20.5,0,0,N,18,1,104W06,2025-06-05,19:28:20
2024-12-30,20.9,20.9,20.9,20.9,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-01-02,21.15,21.15,21.15,21.15,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-01-03,20.7,20.7,20.7,20.7,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-01-06,20.3,20.3,20.3,20.3,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-01-07,20.7,20.7,20.7,20.7,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-01-08,20.25,20.25,20.25,20.25,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-01-09,20.2,20.2,20.2,20.2,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-01-10,19.9,19.9,19.9,19.9,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-01-13,19.9,19.9,19.9,19.9,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-01-14,20.5,20.5,20.5,20.5,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-01-15,19.25,19.25,19.25,19.25,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-01-16,19.25,19.25,19.25,19.25,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-01-17,18.15,18.15,18.15,18.15,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-01-20,17.7,17.7,17.7,17.7,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-01-21,18.45,18.45,18.45,18.45,0,0,N,18,1,104W06,2025-06-05,19:28:20
