acpr,unch_prpr,optn_shrn_iscd,optn_prpr,optn_prdy_vrss,prdy_vrss_sign,optn_prdy_ctrt,optn_bidp,optn_askp,tmvl_val,nmix_sdpr,acml_vol,seln_rsqn,shnu_rsqn,acml_tr_pbmn,hts_otst_stpl_qty,otst_stpl_qty_icdc,delta_val,gama,vega,theta,rho,hts_ints_vltl,invl_val,esdg,dprt,hist_vltl,hts_thpr,optn_oprc,optn_hgpr,optn_lwpr,optn_mxpr,optn_llam,atm_cls_name,rgbf_vrss_icdc,total_askp_rsqn,total_bidp_rsqn,futs_antc_cnpr,futs_antc_cntg_vrss,antc_cntg_vrss_sign,antc_cntg_prdy_ctrt,code,trade_date,collection_time
520.0,3883.43,301W06520,144.0,-5.8,5,-3.87,120.25,179.4,0.54,149.8,2,10,10,72088,272,-2,-1.0,0.0,0.0,0.0361,-0.0997,121.6306,143.46,0.79,0.55,23.6987,143.21,144.35,144.35,144.0,179.4,120.25,ITM,-1,10,10,0.0,0.0,0,0.0,202506_put,2025-06-05,19:28:20
517.5,3864.76,301W06517,147.3,0.0,3,0.0,117.75,176.9,6.34,147.3,0,10,10,0,0,0,-1.0,0.0,0.0,0.036,-0.0992,191.7286,140.96,6.59,4.68,23.6987,140.71,0.0,0.0,0.0,176.9,117.75,ITM,0,10,10,0.0,0.0,0,0.0,202506_put,2025-06-05,19:28:20
515.0,3846.09,301W06515,144.8,0.0,3,0.0,115.25,174.4,6.34,144.8,0,10,10,0,30,0,-1.0,0.0,0.0,0.0358,-0.0987,189.7659,138.46,6.59,4.77,23.6987,138.21,0.0,0.0,0.0,174.4,115.25,ITM,0,10,10,0.0,0.0,0,0.0,202506_put,2025-06-05,19:28:20
512.5,3827.42,301W06512,142.3,0.0,3,0.0,112.75,171.9,6.34,142.3,0,10,10,0,0,0,-1.0,0.0,0.0,0.0356,-0.0982,187.7869,135.96,6.59,4.86,23.6987,135.71,0.0,0.0,0.0,171.9,112.75,ITM,0,10,10,0.0,0.0,0,0.0,202506_put,2025-06-05,19:28:20
510.0,3808.75,301W06510,139.8,0.0,3,0.0,110.25,169.4,6.34,139.8,0,10,10,0,0,0,-1.0,0.0,0.0,0.0354,-0.0978,185.7913,133.46,6.59,4.95,23.6987,133.21,0.0,0.0,0.0,169.4,110.25,ITM,0,10,10,0.0,0.0,0,0.0,202506_put,2025-06-05,19:28:20
507.5,3790.08,301W06507,137.3,0.0,3,0.0,107.75,166.9,6.34,137.3,0,10,10,0,0,0,-1.0,0.0,0.0,0.0353,-0.0973,183.7787,130.96,6.59,5.04,23.6987,130.71,0.0,0.0,0.0,166.9,107.75,ITM,0,10,10,0.0,0.0,0,0.0,202506_put,2025-06-05,19:28:20
505.0,3771.41,301W06505,134.8,0.0,3,0.0,105.25,164.4,6.34,134.8,0,10,10,0,0,0,-1.0,0.0,0.0,0.0351,-0.0968,181.7488,128.46,6.59,5.14,23.6987,128.21,0.0,0.0,0.0,164.4,105.25,ITM,0,10,10,0.0,0.0,0,0.0,202506_put,2025-06-05,19:28:20
502.5,3752.74,301W06502,132.3,0.0,3,0.0,102.75,161.9,6.34,132.3,0,10,10,0,0,0,-1.0,0.0,0.0,0.0349,-0.0963,179.7012,125.96,6.58,5.23,23.6987,125.72,0.0,0.0,0.0,161.9,102.75,ITM,0,10,10,0.0,0.0,0,0.0,202506_put,2025-06-05,19:28:20
500.0,3734.07,301W06500,129.8,0.0,3,0.0,100.25,159.4,6.34,129.8,0,10,10,0,700,0,-1.0,0.0,0.0,0.0347,-0.0958,177.6356,123.46,6.58,5.34,23.6987,123.22,0.0,0.0,0.0,159.4,100.25,ITM,0,10,10,0.0,0.0,0,0.0,202506_put,2025-06-05,19:28:20
497.5,3715.4,301W06497,127.3,0.0,3,0.0,97.75,156.9,6.34,127.3,0,10,10,0,0,0,-1.0,0.0,0.0,0.0346,-0.0954,175.5515,120.96,6.58,5.45,23.6987,120.72,0.0,0.0,0.0,156.9,97.75,ITM,0,10,10,0.0,0.0,0,0.0,202506_put,2025-06-05,19:28:20
495.0,3696.72,301W06495,124.8,0.0,3,0.0,95.25,154.4,6.34,124.8,0,10,10,0,0,0,-1.0,0.0,0.0,0.0344,-0.0949,173.4487,118.46,6.58,5.57,23.6987,118.22,0.0,0.0,0.0,154.4,95.25,ITM,0,10,10,0.0,0.0,0,0.0,202506_put,2025-06-05,19:28:20
492.5,3678.05,301W06492,122.3,0.0,3,0.0,92.75,151.9,6.34,122.3,0,10,10,0,0,0,-1.0,0.0,0.0,0.0342,-0.0944,171.3266,115.96,6.58,5.69,23.6987,115.72,0.0,0.0,0.0,151.9,92.75,ITM,0,10,10,0.0,0.0,0,0.0,202506_put,2025-06-05,19:28:20
490.0,3659.38,301W06490,119.8,0.0,3,0.0,90.25,149.4,6.34,119.8,0,10,10,0,2,0,-1.0,0.0,0.0,0.034,-0.0939,169.1848,113.46,6.58,5.81,23.6987,113.22,0.0,0.0,0.0,149.4,90.25,ITM,0,10,10,0.0,0.0,0,0.0,202506_put,2025-06-05,19:28:20
487.5,3640.71,301W06487,117.35,0.0,3,0.0,87.75,146.9,6.39,117.35,0,10,10,0,0,0,-1.0,0.0,0.0,0.0339,-0.0934,167.418,110.96,6.63,5.99,23.6987,110.72,0.0,0.0,0.0,146.9,87.75,ITM,0,10,10,0.0,0.0,0,0.0,202506_put,2025-06-05,19:28:20
485.0,3622.04,301W06485,114.85,0.0,3,0.0,85.25,144.4,6.39,114.85,0,10,10,0,0,0,-1.0,0.0,0.0,0.0337,-0.093,165.233,108.46,6.63,6.13,23.6987,108.22,0.0,0.0,0.0,144.4,85.25,ITM,0,10,10,0.0,0.0,0,0.0,202506_put,2025-06-05,19:28:20
482.5,3603.37,301W06482,112.35,0.0,3,0.0,82.75,141.9,6.39,112.35,0,10,10,0,0,0,-1.0,0.0,0.0,0.0335,-0.0925,163.0269,105.96,6.62,6.26,23.6987,105.73,0.0,0.0,0.0,141.9,82.75,ITM,0,10,10,0.0,0.0,0,0.0,202506_put,2025-06-05,19:28:20
480.0,3584.7,301W06480,109.85,0.0,3,0.0,80.25,139.4,6.39,109.85,0,10,10,0,0,0,-1.0,0.0,0.0,0.0334,-0.092,160.7991,103.46,6.62,6.41,23.6987,103.23,0.0,0.0,0.0,139.4,80.25,ITM,0,10,10,0.0,0.0,0,0.0,202506_put,2025-06-05,19:28:20
477.5,3566.03,301W06477,107.35,0.0,3,0.0,77.75,136.9,6.39,107.35,0,10,10,0,0,0,-1.0,0.0,0.0,0.0332,-0.0915,158.5492,100.96,6.62,6.57,23.6987,100.73,0.0,0.0,0.0,136.9,77.75,ITM,0,10,10,0.0,0.0,0,0.0,202506_put,2025-06-05,19:28:20
