acpr,unch_prpr,optn_shrn_iscd,optn_prpr,optn_prdy_vrss,prdy_vrss_sign,optn_prdy_ctrt,optn_bidp,optn_askp,tmvl_val,nmix_sdpr,acml_vol,seln_rsqn,shnu_rsqn,acml_tr_pbmn,hts_otst_stpl_qty,otst_stpl_qty_icdc,delta_val,gama,vega,theta,rho,hts_ints_vltl,invl_val,esdg,dprt,hist_vltl,hts_thpr,optn_oprc,optn_hgpr,optn_lwpr,optn_mxpr,optn_llam,atm_cls_name,rgbf_vrss_icdc,total_askp_rsqn,total_bidp_rsqn,futs_antc_cnpr,futs_antc_cntg_vrss,antc_cntg_vrss_sign,antc_cntg_prdy_ctrt,code,trade_date,collection_time
475.0,3547.36,201W07475,0.03,0.01,2,50.0,0.02,0.03,0.03,0.02,581,69,4,4333,1040,153,0.0009,0.0001,0.0034,-0.0012,0.0003,27.1651,0.0,0.02,200.0,23.6987,0.01,0.02,0.05,0.02,6.05,0.01,OTM,1,96,28,0.0,0.0,0,0.0,202507_call,2025-06-05,19:28:20
472.5,3528.69,201W07472,0.04,0.01,2,33.33,0.03,0.04,0.04,0.03,150,20,1,1500,150,88,0.0011,0.0001,0.0042,-0.0015,0.0004,27.3964,0.0,0.03,300.0,23.6987,0.01,0.03,0.05,0.03,7.06,0.01,OTM,0,20,21,0.0,0.0,0,0.0,202507_call,2025-06-05,19:28:20
470.0,3510.02,201W07470,0.04,0.01,2,33.33,0.03,0.04,0.04,0.03,101,8,53,1013,239,85,0.0014,0.0002,0.0053,-0.0018,0.0005,26.8301,0.0,0.03,300.0,23.6987,0.01,0.04,0.05,0.03,6.96,0.01,OTM,0,60,73,0.0,0.0,0,0.0,202507_call,2025-06-05,19:28:20
467.5,3491.35,201W07467,0.04,0.01,2,33.33,0.01,0.05,0.04,0.03,51,57,25,535,60,38,0.0018,0.0002,0.0065,-0.0023,0.0006,26.2593,0.0,0.03,300.0,23.6987,0.01,0.03,0.06,0.03,7.33,0.01,OTM,1,83,25,0.0,0.0,0,0.0,202507_call,2025-06-05,19:28:20
465.0,3472.68,201W07465,0.05,0.01,2,25.0,0.04,0.05,0.05,0.04,89,9,8,1178,122,28,0.0022,0.0003,0.0081,-0.0028,0.0008,26.2985,0.0,0.03,150.0,23.6987,0.02,0.04,0.06,0.04,7.69,0.01,OTM,1,10,33,0.0,0.0,0,0.0,202507_call,2025-06-05,19:28:20
462.5,3454.01,201W07462,0.06,0.02,2,50.0,0.04,0.06,0.06,0.04,14,51,1,193,275,6,0.0028,0.0003,0.0099,-0.0034,0.001,26.2284,0.0,0.04,200.0,23.6987,0.02,0.04,0.07,0.04,7.68,0.01,OTM,0,77,123,0.0,0.0,0,0.0,202507_call,2025-06-05,19:28:20
460.0,3435.34,201W07460,0.06,0.01,2,20.0,0.05,8.01,0.06,0.05,168,20,58,3075,264,133,0.0035,0.0004,0.0121,-0.0042,0.0012,25.623,0.0,0.03,100.0,23.6987,0.03,0.04,0.08,0.04,8.12,0.01,OTM,0,20,97,0.0,0.0,0,0.0,202507_call,2025-06-05,19:28:20
457.5,3416.67,201W07457,0.07,0.02,2,40.0,0.05,8.07,0.07,0.05,121,20,52,2243,229,81,0.0043,0.0005,0.0148,-0.0051,0.0015,25.4572,0.0,0.03,75.0,23.6987,0.04,0.06,0.09,0.06,8.12,0.01,OTM,2,20,85,0.0,0.0,0,0.0,202507_call,2025-06-05,19:28:20
455.0,3398.0,201W07455,0.08,0.02,2,33.33,0.03,0.17,0.08,0.06,112,1,8,2490,135,2,0.0054,0.0006,0.0179,-0.0062,0.0019,25.2267,0.0,0.03,60.0,23.6987,0.05,0.06,0.11,0.06,8.56,0.01,OTM,-9,1,30,0.0,0.0,0,0.0,202507_call,2025-06-05,19:28:20
452.5,3379.33,201W07452,0.08,0.02,2,33.33,0.03,0.99,0.08,0.06,102,1,9,2328,121,13,0.0067,0.0007,0.0217,-0.0075,0.0023,24.589,0.0,0.02,33.33,23.6987,0.06,0.06,0.12,0.06,8.55,0.01,OTM,0,2,17,0.0,0.0,0,0.0,202507_call,2025-06-05,19:28:20
450.0,3360.66,201W07450,0.09,0.03,2,50.0,0.08,0.1,0.09,0.06,386,1,52,8633,337,238,0.0082,0.0008,0.0261,-0.009,0.0029,24.2919,0.0,0.02,28.57,23.6987,0.07,0.07,0.14,0.07,8.33,0.01,OTM,1,12,91,0.0,0.0,0,0.0,202507_call,2025-06-05,19:28:20
447.5,3341.99,201W07447,0.11,0.05,2,83.33,0.03,1.46,0.11,0.06,92,1,8,2945,73,12,0.0101,0.001,0.0312,-0.0108,0.0035,24.242,0.0,0.02,22.22,23.6987,0.09,0.07,0.16,0.07,8.74,0.01,OTM,0,1,16,0.0,0.0,0,0.0,202507_call,2025-06-05,19:28:20
445.0,3323.32,201W07445,0.12,0.04,2,50.0,0.03,1.47,0.12,0.08,152,1,8,5245,133,90,0.0123,0.0012,0.0371,-0.0129,0.0043,23.8354,0.0,0.01,9.09,23.6987,0.11,0.09,0.18,0.08,9.15,0.01,OTM,0,1,16,0.0,0.0,0,0.0,202507_call,2025-06-05,19:28:20
