상품구분,상품종류,단축코드,표준코드,한글종목명,월물구분코드,기초자산 단축코드,기초자산 명
1,1,165W06,KR4165W60005,3년국채    F 202506,1,BM3,3년채
1,1,165W09,KR4165W90002,3년국채    F 202509,2,BM3,3년채
1,2,465W0601,KR4465W6W9S3,3년국채    SP 2506-2509,1,BM3,3년채
1,1,166W06,KR4166W60003,5년국채    F 202506,1,BM5,5년채
1,1,166W09,KR4166W90000,5년국채    F 202509,2,BM5,5년채
1,2,466W0601,KR4466W6W9S1,5년국채    SP 2506-2509,1,BM5,5년채
1,1,167W06,KR4167W60001,10년국채   F 202506,1,BMA,10년채
1,1,167W09,KR4167W90008,10년국채   F 202509,2,BMA,10년채
1,2,467W0601,KR4467W6W9S9,10년국채   SP 2506-2509,1,BMA,10년채
1,2,468W0600,KR4468W60003,3년-10년국채 SP 202506,1,B3A,3년-10년채
1,2,468W0900,KR4468W90000,3년-10년국채 SP 202509,2,B3A,3년-10년채
2,1,175W05,KR4175W50005,미국달러 F 202505,1,USD,미국달러
2,1,175W06,KR4175W60004,미국달러 F 202506,2,USD,미국달러
2,1,175W07,KR4175W70003,미국달러 F 202507,3,USD,미국달러
2,1,175W08,KR4175W80002,미국달러 F 202508,4,USD,미국달러
2,1,175W09,KR4175W90001,미국달러 F 202509,5,USD,미국달러
2,1,175W10,KR4175WA0006,미국달러 F 202510,6,USD,미국달러
2,1,175W11,KR4175WB0005,미국달러 F 202511,7,USD,미국달러
2,1,175W12,KR4175WC0004,미국달러 F 202512,8,USD,미국달러
2,2,475W0501,KR4475W5W6S9,미국달러 SP 2505-2506,1,USD,미국달러
2,2,475W0502,KR4475W5W7S7,미국달러 SP 2505-2507,1,USD,미국달러
2,2,475W0503,KR4475W5W8S5,미국달러 SP 2505-2508,1,USD,미국달러
2,2,475W0504,KR4475W5W9S3,미국달러 SP 2505-2509,1,USD,미국달러
2,2,475W0505,KR4475W5WAS7,미국달러 SP 2505-2510,1,USD,미국달러
2,2,475W0506,KR4475W5WBS5,미국달러 SP 2505-2511,1,USD,미국달러
2,2,475W0507,KR4475W5WCS3,미국달러 SP 2505-2512,1,USD,미국달러
2,2,475W0508,KR4475W561S7,미국달러 SP 2505-2601,1,USD,미국달러
2,2,475W0509,KR4475W562S5,미국달러 SP 2505-2602,1,USD,미국달러
2,2,475W0510,KR4475W563S3,미국달러 SP 2505-2603,1,USD,미국달러
2,2,475W0511,KR4475W564S1,미국달러 SP 2505-2604,1,USD,미국달러
2,2,475W0512,KR4475W566S6,미국달러 SP 2505-2606,1,USD,미국달러
2,2,475W0513,KR4475W569S0,미국달러 SP 2505-2609,1,USD,미국달러
2,2,475W0514,KR4475W56CS2,미국달러 SP 2505-2612,1,USD,미국달러
2,2,475W0515,KR4475W573S2,미국달러 SP 2505-2703,1,USD,미국달러
2,2,475W0516,KR4475W576S5,미국달러 SP 2505-2706,1,USD,미국달러
2,2,475W0517,KR4475W579S9,미국달러 SP 2505-2709,1,USD,미국달러
2,2,475W0518,KR4475W57CS0,미국달러 SP 2505-2712,1,USD,미국달러
2,2,475W0519,KR4475W583S1,미국달러 SP 2505-2803,1,USD,미국달러
2,1,A75601,KR4A75610001,미국달러 F 202601,9,USD,미국달러
2,1,A75602,KR4A75620000,미국달러 F 202602,0,USD,미국달러
2,1,A75603,KR4A75630009,미국달러 F 202603,1,USD,미국달러
2,1,A75604,KR4A75640008,미국달러 F 202604,2,USD,미국달러
2,1,A75606,KR4A75660006,미국달러 F 202606,3,USD,미국달러
2,1,A75609,KR4A75690003,미국달러 F 202609,4,USD,미국달러
2,1,A75612,KR4A756C0008,미국달러 F 202612,5,USD,미국달러
2,1,A75703,KR4A75730007,미국달러 F 202703,6,USD,미국달러
2,1,A75706,KR4A75760004,미국달러 F 202706,7,USD,미국달러
2,1,A75709,KR4A75790001,미국달러 F 202709,8,USD,미국달러
