상품종류,단축코드,표준코드, 한글종목명, ATM구분, 행사가, 월물구분코드, 기초자산 단축코드, 기초자산 명
1,101W06,KR4101W60000,F 202506,,0,1,2001,KOSPI200
1,101W09,KR4101W90007,F 202509,,0,2,2001,KOSPI200
1,101W12,KR4101WC0003,F 202512,,0,3,2001,KOSPI200
7,104W06,KR4104W60004,변동성F 202506,,0,1,503,VKOSPI
7,104W07,KR4104W70003,변동성F 202507,,0,2,503,VKOSPI
7,104W08,KR4104W80002,변동성F 202508,,0,3,503,VKOSPI
7,104W09,KR4104W90001,변동성F 202509,,0,4,503,VKOSPI
7,104W10,KR4104WA0002,변동성F 202510,,0,5,503,VKOSPI
7,104W11,KR4104WB0001,변동성F 202511,,0,6,503,VKOSPI
B,105W06,KR4105W60001,미니F 202506,,0,1,2001,KOSPI200
B,105W07,KR4105W70000,미니F 202507,,0,2,2001,KOSPI200
B,105W08,KR4105W80009,미니F 202508,,0,3,2001,KOSPI200
B,105W09,KR4105W90008,미니F 202509,,0,4,2001,KOSPI200
B,105W10,KR4105WA0001,미니F 202510,,0,5,2001,KOSPI200
B,105W11,KR4105WB0000,미니F 202511,,0,6,2001,KOSPI200
3,106W06,KR4106W60009,코스닥150F 202506,,0,1,3003,KSQ150
3,106W09,KR4106W90006,코스닥150F 202509,,0,2,3003,KSQ150
3,106W12,KR4106WC0008,코스닥150F 202512,,0,3,3003,KSQ150
F,107W06,KR4107W60007,유로스톡스50F 202506,,0,1,6291,Euro Stoxx 50 Daily Short (Gross Return)
F,107W09,KR4107W90004,유로스톡스50F 202509,,0,2,6291,Euro Stoxx 50 Daily Short (Gross Return)
F,107W12,KR4107WC0007,유로스톡스50F 202512,,0,3,6291,Euro Stoxx 50 Daily Short (Gross Return)
H,108W06,KR4108W60005,KRX300F 202506,,0,1,4300,KRX 300
H,108W09,KR4108W90002,KRX300F 202509,,0,2,4300,KRX 300
H,108W12,KR4108WC0006,KRX300F 202512,,0,3,4300,KRX 300
9,1A0W06,KR41A0W60001,에너지화학F 202506,,0,1,2012,K에너지화학
9,1A0W09,KR41A0W90008,에너지화학F 202509,,0,2,2012,K에너지화학
9,1A0W12,KR41A0WC0002,에너지화학F 202512,,0,3,2012,K에너지화학
9,1A1W06,KR41A1W60009,정보기술F 202506,,0,1,2013,K정보기술
9,1A1W09,KR41A1W90006,정보기술F 202509,,0,2,2013,K정보기술
9,1A1W12,KR41A1WC0001,정보기술F 202512,,0,3,2013,K정보기술
9,1A2W06,KR41A2W60007,금융F 202506,,0,1,2014,K금융
9,1A2W09,KR41A2W90004,금융F 202509,,0,2,2014,K금융
9,1A2W12,KR41A2WC0000,금융F 202512,,0,3,2014,K금융
9,1A3W06,KR41A3W60005,경기소비재F 202506,,0,1,2016,K경기소비재
9,1A3W09,KR41A3W90002,경기소비재F 202509,,0,2,2016,K경기소비재
9,1A3W12,KR41A3WC0009,경기소비재F 202512,,0,3,2016,K경기소비재
9,1A4W06,KR41A4W60003,고배당50   F 202506,,0,1,163,고배당50
9,1A4W09,KR41A4W90000,고배당50   F 202509,,0,2,163,고배당50
9,1A4W12,KR41A4WC0008,고배당50   F 202512,,0,3,163,고배당50
9,1A5W06,KR41A5W60000,배당성장50 F 202506,,0,1,164,배당성장50
9,1A5W09,KR41A5W90007,배당성장50 F 202509,,0,2,164,배당성장50
9,1A5W12,KR41A5WC0007,배당성장50 F 202512,,0,3,164,배당성장50
9,1A6W06,KR41A6W60008,건설F 202506,,0,1,2009,K건설
9,1A6W09,KR41A6W90005,건설F 202509,,0,2,2009,K건설
9,1A6W12,KR41A6WC0006,건설F 202512,,0,3,2009,K건설
9,1A7W06,KR41A7W60006,중공업F 202506,,0,1,2010,K중공업
9,1A7W09,KR41A7W90003,중공업F 202509,,0,2,2010,K중공업
9,1A7W12,KR41A7WC0005,중공업F 202512,,0,3,2010,K중공업
9,1A8W06,KR41A8W60004,헬스케어F 202506,,0,1,2018,K헬스케어
9,1A8W09,KR41A8W90001,헬스케어F 202509,,0,2,2018,K헬스케어
9,1A8W12,KR41A8WC0004,헬스케어F 202512,,0,3,2018,K헬스케어
9,1A9W06,KR41A9W60002,철강소재   F 202506,,0,1,2011,K철강소재
9,1A9W09,KR41A9W90009,철강소재   F 202509,,0,2,2011,K철강소재
9,1A9W12,KR41A9WC0003,철강소재   F 202512,,0,3,2011,K철강소재
9,1AAW06,KR41AAW60000,생활소비재 F 202506,,0,1,2015,K생활소비재
9,1AAW09,KR41AAW90007,생활소비재 F 202509,,0,2,2015,K생활소비재
9,1AAW12,KR41AAWC0000,생활소비재 F 202512,,0,3,2015,K생활소비재
9,1ABW06,KR41ABW60008,산업재     F 202506,,0,1,2017,K산업재
9,1ABW09,KR41ABW90005,산업재     F 202509,,0,2,2017,K산업재
9,1ABW12,KR41ABWC0009,산업재     F 202512,,0,3,2017,K산업재
9,1ACW06,KR41ACW60006,BBIG           F 202506,,0,1,4411,KRX BBIG 지수
9,1ACW09,KR41ACW90003,BBIG           F 202509,,0,2,4411,KRX BBIG 지수
9,1ACW12,KR41ACWC0008,BBIG           F 202512,,0,3,4411,KRX BBIG 지수
9,1ADW06,KR41ADW60004,2차전지 TOP 10 F 202506,,0,1,4412,KRX 2차전지TOP 10 지수
9,1ADW09,KR41ADW90001,2차전지 TOP 10 F 202509,,0,2,4412,KRX 2차전지TOP 10 지수
9,1ADW12,KR41ADWC0007,2차전지 TOP 10 F 202512,,0,3,4412,KRX 2차전지TOP 10 지수
9,1AEW06,KR41AEW60002,바이오 TOP 10  F 202506,,0,1,4413,KRX 바이오 TOP 10 지수
9,1AEW09,KR41AEW90009,바이오 TOP 10  F 202509,,0,2,4413,KRX 바이오 TOP 10 지수
9,1AEW12,KR41AEWC0006,바이오 TOP 10  F 202512,,0,3,4413,KRX 바이오 TOP 10 지수
9,1AGW06,KR41AGW60007,코스닥글로벌 F 202506,,0,1,1049,코스닥 글로벌
9,1AGW09,KR41AGW90004,코스닥글로벌 F 202509,,0,2,1049,코스닥 글로벌
9,1AGW12,KR41AGWC0004,코스닥글로벌 F 202512,,0,3,1049,코스닥 글로벌
9,1AHW06,KR41AHW60005,코리아밸류업 F 202506,,0,1,4446,코리아 밸류업 지수
9,1AHW09,KR41AHW90002,코리아밸류업 F 202509,,0,2,4446,코리아 밸류업 지수
9,1AHW12,KR41AHWC0003,코리아밸류업 F 202512,,0,3,4446,코리아 밸류업 지수
2,401W0601,KR4401W6W9S8,SP 2506-2509,,0,1,2001,KOSPI200
